,title,subtitles,link
0,CARABAO CUP DRAW,"Man Utd, Liverpool, Man City & Gillingham set to learn fourth round fates",https://www.thesun.co.uk/sport/20371859/efl-carabao-cup-fourth-round-draw-live-tv-channel-watch-online/
1,MAN UTD RATINGS,Maguire sluggish with World Cup nearing while Fernandes takes charge,https://www.thesun.co.uk/sport/20390702/man-utd-ratings-aston-villa-maguire-fernandes/
2,MAN UTD VERDICT,Ten Hag must address defensive fragility to stay in top-four hunt,https://www.thesun.co.uk/sport/20390703/man-utd-aston-villa-verdict-ten-hag-top-four/
3,SUN-SATIONAL!,"Join us for World Cup preview night with Adams, Wilshere, Redknapp & King",https://www.thesun.co.uk/sport/20357686/sun-world-cup-preview-night/
4,QATAR HERO,"Everything you need to know about Dream Team World Cup - £50,000 to be won!",https://www.thesun.co.uk/sport/football/dream-team/20302461/world-cup-fantasy-football-game-free-qatar-2022/
5,'DREAMS DO COME TRUE',Maddison celebrates World Cup call-up with amazing throwback pic,https://www.thesun.co.uk/sport/20390404/james-maddison-england-world-cup-throwback-face-paint/
6,TROY DEENEY,England squad capable of winning World Cup... but lack of Plan B is a concern,https://www.thesun.co.uk/sport/20390123/england-world-cup-squad-troy-deeney-gareth-southgate/
7,'RIP OFF',Fans all say the same thing as Aston Villa unveil new-look club crest,https://www.thesun.co.uk/sport/20390240/chelsea-fans-aston-villa-reveal-crest-john-terry/
8,'I'M CRYING',IShowSpeed flies from US just to watch Ronaldo.. only for star to be ruled out,https://www.thesun.co.uk/sport/20390796/youtube-ishowspeed-america-cristiano-ronaldo-man-utd/
9,BIG OFFER,Betfair sign-up: Stake £10 on Man Utd vs Aston Villa to get £30 in free bets,https://www.thesun.co.uk/sport/betting-tips/19802970/betfair-free-bets-sign-up-bonus/
10,SQUAD GOALS,England's 26-man World Cup squad broken down from goals and caps to experience,https://www.thesun.co.uk/sport/20389272/england-26-man-squad-breakdown-analysis-southgate/
11,BAD TRIP,Kieran Trippier still struggling to let go of World Cup 2018 heartbreak,https://www.thesun.co.uk/sport/20390646/kieran-trippier-newcastle-world-cup-2018-heartbreak-england/
12,SACKED IN THE MORNING,Warning for footie fans as they may be sacked for watching World Cup,https://www.thesun.co.uk/sport/20390292/warning-football-fans-world-cup-sickies-sacked/
13,GOING SOUTH,England's first World Cup opponents Iran scrape win over No142 ranked team,https://www.thesun.co.uk/sport/20389791/england-world-cup-iran-scrape-win-nicaragua/
14,GLEE MASON,Mount opens up on England World Cup call-up and shares throwback pic,https://www.thesun.co.uk/sport/20388010/emotional-mason-mount-opens-up-on-england-call/
15,'TOO SMOOTH',Watch Ronaldo's outrageous skill in Man Utd training with fans left stunned,https://www.thesun.co.uk/sport/20385817/cristiano-ronaldo-outrageous-skill-man-utd-training/
16,DOUBLE UP,Win a Range Rover SVR and a Nissan GTR or £75k cash for just 89p with Sun code,https://www.thesun.co.uk/sport/betting-tips/18918779/win-car-double-7days/
17,RON GONE,Ten Hag reveals reason why Cristiano Ronaldo is out of Man Utd vs Villa,https://www.thesun.co.uk/sport/20390542/ronaldo-out-aston-villa-illness-erik-ten-hag/
18,PORT OF CALL,Cristiano Ronaldo breaks silence on being named in Portugal World Cup squad,https://www.thesun.co.uk/sport/20389833/portugal-squad-world-cup-ronaldo-fernandes/
19,SAINT MARCHES IN,Southampton confirm Nathan Jones as new boss days after sacking Hasenhuttl,https://www.thesun.co.uk/sport/20381003/southampton-nathan-jones-new-manager-luton/
20,ST GEORGE & CROSS,Trippier paid dad's fine after he was fined for flag in 2018 World Cup,https://www.thesun.co.uk/sport/20388965/trippier-paid-dads-fine-after-killjoy-council-fined-him/
21,MANE MAN,Mane set to be named in Senegal's World Cup squad despite suffering tendon injury,https://www.thesun.co.uk/sport/20386351/sadio-mane-set-to-be-named-in-senegal-squad/
22,MAD MAN,Lineker hails brilliant Maddison for 'forcing' his way into World Cup squad,https://www.thesun.co.uk/sport/20386939/world-cup-gary-lineker-james-maddison-england/
23,'I LOVED IT',Gazza reveals how he was caught by Sir Bobby drinking pina colada at World Cup,https://www.thesun.co.uk/sport/20385064/england-gazza-bobby-robson-pina-colada/
24,RON HIS WAY,"Ronaldo 'told pal he could see himself playing for PSG', reveals new biography",https://www.thesun.co.uk/sport/20389285/manchester-utd-star-cristiano-ronaldo-transfer-psg-lionel-messi/
25,STEAKS ARE HIGH,Fuming fans slam Arsenal over £24 steak sandwich deal at Emirates,https://www.thesun.co.uk/sport/20388131/arsenal-fans-sandwich-meal-deal/
26,DESERT STORM,Fans split on England's World Cup squad after Southgate makes big calls,https://www.thesun.co.uk/sport/20386594/fans-england-world-cup-squad-southgate/
27,WORLD OF PAIN,Alan Shearer makes prediction for England's World Cup chances & has BIG worry,https://www.thesun.co.uk/sport/20383268/shearer-predicts-england-will-be-knocked-out/
28,MADD BUSY,Maddison grins as it's revealed he MISSED Southgate's World Cup squad phone call,https://www.thesun.co.uk/sport/20388079/world-cup-maddison-leicester-southgate-england-squad/
29,WISE-HEADS,England’s World Cup 2022 squad the second-most experienced EVER,https://www.thesun.co.uk/sport/20389604/england-world-cup-2022-squad-gareth-southgate-caps/
30,BIG DEALS,"World Cup 2022 preview: betting tips, predictions, latest odds and offers",https://www.thesun.co.uk/sport/betting-tips/18680047/world-cup-2022-betting-tips-prediction-preview-odds/
